"Name","Services","Category","Funded/Supported by","Availability of service","Suburb","City","Province","Where are they?","Crisis/Counselling Line","Contact","Telephone","Web contact"
"Christian Action for Dependence H/O","Resources addressing the challenges of substance abuse","Drugs and alcohol","N/A","N/A","N/A","Kroonstad","Free State"," Kroonstad, Free State.","N/A","Pastor Eddie de Villiers *Group Meeting Time: Tue 15h00 (Eng) / 19h00 (Afr)","0562127132/ 0825715472.","Contact to: rene@saampro.co.za  Website: http://www.cad.org.za/index.php/national"
"Christian Action for Dependence Heilbron Free State","Resources addressing the challenges of substance abuse","Drugs and alcohol","N/A","N/A","N/A","Heilbron","Free State"," Heilbron, Free State.","N/A","Athini *Group Meeting Time: Wed 19h00 / Fri 19h00","0588523688/ 0739294149.","Contact to: pjelsheilbron@gmail.com	Website: http://www.cad.org.za/index.php/freestate"
"Christian Action for Dependence Highveld","Resources addressing the challenges of substance abuse","Drugs and alcohol","N/A","N/A","N/A","N/A","Gauteng","Stabilis Treatment Centre, 1229 Haarhoff Street East. Gauteng.","N/A","Fazel *Group Meeting Time: Thu 19h00 / Sun 19h00","0827247028.","Contact to: variotek@vodamail.co.za	Website: http://www.cad.org.za/index.php/high-veld"
"Christian Action for Dependence Hoopstad Free State","Resources addressing the challenges of substance abuse","Drugs and alcohol","N/A","N/A","N/A","Hoopstad","Free State","NG Church WieRoadapark South, 309 Cotie Ave. Hoopstad, Free State.","N/A","Eugene *Group Meeting Time: Thu 19h00","0828043707.","Contact to:  hnsaad@lantic.net  Website: http://www.cad.org.za/index.php/freestate"
"Christian Action for Dependence Jakaranda - Moot Pretoria","Resources addressing the challenges of substance abuse","Drugs and alcohol","N/A","N/A","Môregloed","Pretoria","Gauteng"," Môregloed, Pretoria, Gauteng.","N/A","Charlene *Group Meeting Time: Thu 19h00","0724917227.","Contact to: vanreenenc4@gmail.com  Website: http://www.cad.org.za/index.php/northern-tvl"
"Christian Action for Dependence Kana - Wierda Park Pretoria","Resources addressing the challenges of substance abuse","Drugs and alcohol","N/A","N/A","Wierda Park","Pretoria","Gauteng"," Wierda Park, Pretoria, Gauteng.","N/A","Trish *Group Meeting Time: Wed 19h00","0824991713.","Contact to: lenbad@mweb.co.za	Website: http://www.cad.org.za/index.php/northern-tvl"
"Christian Action for Dependence Katu Northern Cape","Resources addressing the challenges of substance abuse","Drugs and alcohol","N/A","N/A","N/A","Katu","Northern Cape"," Katu, Northern Cape.","N/A","Fazal / Pinky *Group Meeting Time: Mon 19h30","0537231235/ 0730085083.","Contact to: gerridamc@gmail.com  Website: http://www.cad.org.za/index.php/northern-cape"
"Christian Action for Dependence Kroonstad Free State","Resources addressing the challenges of substance abuse","Drugs and alcohol","N/A","N/A","N/A","Kroonstad","Free State"," Kroonstad, Free State.","N/A","Fazal / Pinky *Group Meeting Time: Tue 18h00 / Wed 18h00 / Thu 19h30 / Fri 19h00","0721250506.","Contact to: cad@iningi.co.za  Website: http://www.cad.org.za/index.php/freestate"
"Christian Action for Dependence Krugersdorp West","Resources addressing the challenges of substance abuse","Drugs and alcohol","N/A","N/A","Krugersdorp West","Krugersdorp","Gauteng"," Krugersdorp West, Krugersdorp, Gauteng.","N/A","Heinrich / Nataniel *Group Meeting Time: Fri 19h30","0825597487.","Contact to: diejonkers@vodamail.co.za  Website: http://www.cad.org.za/index.php/western-tvl"
"Christian Action for Dependence Natal","Resources addressing the challenges of substance abuse","Drugs and alcohol","N/A","N/A","N/A","N/A","Natal"," Natal.","N/A","Terrence / Wayne *Group Meeting Time: Sat 17h00"," 0824558421.","Contact to: pgkumlehn@gmail.com	Website: http://www.cad.org.za/index.php/natal"
"Christian Action for Dependence North West","Resources addressing the challenges of substance abuse","Drugs and alcohol","N/A","N/A","N/A","N/A","North West","Northern Transvaal. North West.","N/A","Gert *Group Meeting Time: Mon 19h30 / Fri 18h30","0824294495.","Contact to: stadsmuis@yahoo.com  Website: http://www.cad.org.za/index.php/north-west"
"Christian Action for Dependence Northern Cape","Resources addressing the challenges of substance abuse","Drugs and alcohol","N/A","N/A","N/A","N/A","Northern Cape"," Northern Cape.","N/A","Not specified","0539272319/ 0823370555.","Contact to: mleroux@um.co.za  Website: http://www.cad.org.za/index.php/northern-cape"
"Christian Action for Dependence Northern Transvaal","Resources addressing the challenges of substance abuse","Drugs and alcohol","N/A","N/A","N/A","Pretoria","Gauteng"," Pretoria, Gauteng.","N/A","Not specified","0825701291.","Contact to: cadpretoria@gmail.com  Website: http://www.cad.org.za/index.php/northern-tvl"
"Christian Action for Dependence Paarl","Resources addressing the challenges of substance abuse","Drugs and alcohol","N/A","N/A","N/A","Paarl","Western Cape"," Paarl, Western Cape.","N/A","Not specified","0218632076.","Contact to: zanddrift@telkomsa.net  Website: http://www.cad.org.za/index.php/s-w-cape"
"Christian Action for Dependence Parow East","Resources addressing the challenges of substance abuse","Drugs and alcohol","N/A","N/A","N/A","Parow East","Western Cape"," Parow East, Western Cape.","N/A","Not specified","0219304472/ 0794343194.","Contact to: cad@ramot.co.za  Website: http://www.cad.org.za/index.php/s-w-cape"
"Christian Action for Dependence Parys Free State","Resources addressing the challenges of substance abuse","Drugs and alcohol","N/A","N/A","N/A","Parys","Free State","NG Church Rustenburg Moedergemeente, c/o Fatima Bayat & Beyers Naude. Parys, Free State.","N/A","Not specified","0823969544.","Contact to: vvaparys@telkomsa.net  Website: http://www.cad.org.za/index.php/freestate"
"Christian Action for Dependence Phalaborwa","Resources addressing the challenges of substance abuse","Drugs and alcohol","N/A","N/A","N/A","Phalaborwa","Limpopo"," Phalaborwa, Limpopo.","N/A","Not specified","0828023753.","Contact to: niekenalta@vodamail.co.za  Website: http://www.cad.org.za/index.php/northern-tvl"
"Christian Action for Dependence Rustenburg","Resources addressing the challenges of substance abuse","Drugs and alcohol","N/A","N/A","N/A","Rustenburg","North West"," Rustenburg, North West.","N/A","Pastor Eddie de Villiers *Group Meeting Time: Tue 15h00 (Eng) / 19h00 (Afr)","0722301582.","Contact to: eddiedevilliers@gmail.com  Website: http://www.cad.org.za/index.php/northern-tvl"
"Christian Action for Dependence Vereeniging","Resources addressing the challenges of substance abuse","Drugs and alcohol","N/A","N/A","N/A","Vereeniging","Gauteng"," Vereeniging, Gauteng.","N/A","Athini *Group Meeting Time: Wed 19h00 / Fri 19h00","834416980.","Contact to: aubreyventer@telkomsa.net  Website: http://www.cad.org.za/index.php/western-tvl"
"Christian Action for Dependence Vereeniging 2","Resources addressing the challenges of substance abuse","Drugs and alcohol","N/A","N/A","N/A","Vereeniging","Gauteng"," Vereeniging, Gauteng.","N/A","Fazel *Group Meeting Time: Thu 19h00 / Sun 19h00","0832789152.","Website:http://www.cad.org.za/index.php/western-tvl"
"Christian Action for Dependence Viljoenskroon Free State","Resources addressing the challenges of substance abuse","Drugs and alcohol","N/A","N/A","N/A","Viljoenskroon","Free State"," Viljoenskroon, Free State.","N/A","Eugene *Group Meeting Time: Thu 19h00","0839572186.","Website:http://www.cad.org.za/index.php/freestate"
"Christian Action for Dependence Virginia Free State","Resources addressing the challenges of substance abuse","Drugs and alcohol","N/A","N/A","N/A","Virginia","Free State"," Virginia, Free State.","N/A","Charlene *Group Meeting Time: Thu 19h00","0733026767.","Contact to: kmdnel@telkomsa.net  Website: http://www.cad.org.za/index.php/freestate"
"Christian Action for Dependence Welkom Free State","Resources addressing the challenges of substance abuse","Drugs and alcohol","N/A","N/A","Bronville","Welkom","Free State"," Bronville, Welkom, Free State.","N/A","Trish *Group Meeting Time: Wed 19h00","0828014456.","Contact to: cad@iningi.co.za  Website: http://www.cad.org.za/index.php/freestate"
"Christian Action for Dependence Welkom Free State","Resources addressing the challenges of substance abuse","Drugs and alcohol","N/A","N/A","N/A","Welkom","Free State"," Welkom, Free State.","N/A","Fazal / Pinky *Group Meeting Time: Mon 19h30","0721250506.","Contact to: cad@iningi.co.za  Website: http://www.cad.org.za/index.php/freestate"
"Christian Action for Dependence Wesselsbron Free State","Resources addressing the challenges of substance abuse","Drugs and alcohol","N/A","N/A","N/A","Wesselsbron","Free State"," Wesselsbron, Free State.","N/A","Fazal / Pinky *Group Meeting Time: Tue 18h00 / Wed 18h00 / Thu 19h30 / Fri 19h00","0795161065.","Contact to: mulsweis@lantic.net	Website: http://www.cad.org.za/index.php/freestate"
"Christian Action for Dependence Worcester","Resources addressing the challenges of substance abuse","Drugs and alcohol","N/A","N/A","N/A","Worcester","Western Cape"," Worcester, Western Cape.","N/A","Heinrich / Nataniel *Group Meeting Time: Fri 19h30","0233470708/ 0825760723.","Contact to: sheriffworcester@intekom.co.za  Website: http://www.cad.org.za/index.php/s-w-cape"
"CODA (Codependents Anonymous)","Drug Support Group","Drugs and alcohol","N/A","N/A","Milnerton","Cape Town","Western Cape","1 Civet Street , Eastridge. Milnerton, Cape Town, Western Cape.","N/A","Terrence / Wayne *Group Meeting Time: Sat 17h00","0729706811.","Not specified"
"Cradock White Door Centre of Hope","Support for victims of gender based violence","Violence/ abuse/ rape","N/A","N/A","Lingelihle","Cradock","Eastern Cape","1 Roman Road. Lingelihle, Cradock, Eastern Cape.","N/A","Gert *Group Meeting Time: Mon 19h30 / Fri 18h30","Not specified","Not specified"
"Creative Effective Families (CEF)","Shelter for abused women and children","Violence/ abuse/ rape","Department of Social Development (Western Cape Government)","24 hours","N/A","Mossel Bay","Western Cape"," Mossel Bay, Western Cape.","0446931092","Not specified","0446931092.","Contact to: cefmb@telkomsa.net"
"CTDCC Cape Town Drug Counselling Centre Mitchells Plain","Resources addressing the challenges of substance abuse","Drugs and alcohol","N/A","N/A","Mitchells Plain","Cape Town","Western Cape","38 Fouche Road. Mitchells Plain, Cape Town, Western Cape.","N/A","Not specified","0213970103.","Contact to: ctdccmp@mweb.co.za  Website: drugcenter.org.za"
"CTDCC Cape Town Drug Counselling Centre Observatory","Resources addressing the challenges of substance abuse","Drugs and alcohol","N/A","N/A","Observatory","Cape Town","Western Cape"," Observatory, Cape Town, Western Cape.","N/A","Not specified","0214478026.","Contact to: ctdcc@iafrica.com  Website: drugcenter.org.za"
"CWD Bonne Esperance Refugee Shelter For Women & Children","Shelter for abused women and children","Violence/ abuse/ rape","Department of Social Development (Western Cape Government)","N/A","N/A","Cape Town","Western Cape"," Cape Town, Western Cape.","N/A","Not specified","0216919750.","Contact to: esperance@mweb.co.za  Website: http://www.cwd.co.za"
"Daughters of Zion (May Thaysen)","Shelter for unemployed families","Homeless /destitute / unemployed","Soul Food","N/A","Klispruit West","Johannesburg","Gauteng"," Klispruit West, Johannesburg, Gauteng.","N/A","Not specified","Not specified","Not specified"
"Department of Social Development Substance Abuse Line 24hr helpline","Counselling support service","Drugs and alcohol","N/A","24 hours","N/A","N/A","N/A","Unit 3A1, The Avenues, Parklands Main Road. ","0800121314","Not specified","Not specified","Not specified"
"Department of Social Development's Substance Abuse Line","Counselling support service","Drugs and alcohol","N/A","N/A","N/A","N/A","N/A","Parow Vallei. ","0800121314","Not specified","Not specified","Not specified"
"Deurgangshuis – SAVF","Shelter for abused women and children","Violence/ abuse/ rape","Gauteng Department of Social Development","N/A","N/A","Carletonville","Gauteng","42 McKenzie Road. Carletonville, Gauteng.","N/A","Not specified","0187861016.","Contact to: savfville@mweb.co.za"
"Dordrecht White Door Centre Centre of Hope","Support for victims of gender based violence","Violence/ abuse/ rape","N/A","N/A","N/A","Dordrecht","Eastern Cape"," Dordrecht, Eastern Cape.","N/A","Not specified","Not specified","Not specified"
"Dr. Brenda van Rooyen","Educational Psychologist","Depression / Psychology assistance","N/A","N/A","Parklands","Cape Town","Western Cape","Corner Quartz and Kotze Streets. Parklands, Cape Town, Western Cape.","N/A","Not specified","0215571977  / 0824483638.","Contact to: brendavanrooyen@telkomsa.net	 Website: http://www.blaauwberg.net/cic/default.asp"
"Drug Testing Laboratory","Drug Testing","Drugs and alcohol","N/A","N/A","Parow","Cape Town","Western Cape"," Parow, Cape Town, Western Cape.","N/A","Not specified","0219334770.","Not specified"
"Durban LBGT Community Centre","Empowering the LGBT community through support & training","LGTB","N/A","N/A","Morningside","Durban","Kwazulu Natal","Annex 117, Milnerton Medi-Clinic, Racecourse Road. Morningside, Durban, Kwazulu Natal.","N/A","Not specified","0313127402 / 42.","Contact to: mc@gaycentre.org.za / info@gaycentre.org.za	Website: http://www.gaycentre.org.za/about.asp"
"Dusk to Dawn","Shelter for abused women and children","Violence/ abuse/ rape","Department of Social Development (Western Cape Government)","N/A","Ravensmead","Cape Town","Western Cape"," Ravensmead, Cape Town, Western Cape.","N/A","Not specified","0219313622.","Not specified"
"Ekhaya Overnight Shelter","Overnight shelter for men and women - no children","Shelters","Soul Food","N/A","Hillbrow","Johannesburg","Gauteng"," Hillbrow, Johannesburg, Gauteng.","N/A","Not specified","Not specified","Not specified"
"Eldorado Park Women's Forum","Temporarily place of safety for Women and their children who are victims of domestic violence and abuse","Legal advice","Gauteng Department of Social Development","N/A","N/A","Eldorado Park","Gauteng","Harrington House, 37 Barrack Street. Eldorado Park, Gauteng.","N/A","Not specified","0119456433/ 0729507626.","Contact to: evansgassi14@gmail.co.za"
"Elizabeth Oosthuizen","Counselling Psychologist","Depression / Psychology assistance","N/A","N/A","Milnerton","Cape Town","Western Cape","263 OxfoRoad St. Milnerton, Cape Town, Western Cape.","N/A","Not specified","021 555 1484/ 0827396321.","Contact to: erooted@absamail.co.za"
"El-O-Him Shelter","Shelter for abused women and children","Violence/ abuse/ rape","Department of Social Development (Western Cape Government)","N/A","Mitchells Plain","Cape Town","Western Cape","63A High St. Mitchells Plain, Cape Town, Western Cape.","N/A","Not specified","0213971936.","Not specified"
"Eluncedweni White Door Centre of Hope","Support for victims of gender based violence","Violence/ abuse/ rape","N/A","N/A","N/A","Keiskammahoek","Eastern Cape","62 Western Road. Keiskammahoek, Eastern Cape.","N/A","Not specified","Not specified","Not specified"
"Embrace Dignity","NGO for empowerment of women through opposing prostitution","Marriage / Family Counsellor","N/A","N/A","Cape Town Centre","Cape Town","Western Cape","21 Murray St. Cape Town Centre, Cape Town, Western Cape.","N/A","Not specified","0214613139 / 0214612634.","Contact to: info@embracedignity.org.za  Website: http://embracedignity.org.za/site/"
"Family & Marriage Society of South Africa (FAMSA), Border (East London)","Imparts knowledge and expertise to inidividual families","Marriage / Family Counsellor","N/A","N/A","Southernwood","East London","Eastern Cape"," Southernwood, East London, Eastern Cape.","N/A","Not specified","0437438277 / 8577.","Contact to: admin@famsa-bc.org.za"
"Family & Marriage Society of South Africa (FAMSA), Grahamstown","Positive parenting, family focus, family fun","Marriage / Family Counsellor","N/A","N/A","N/A","Grahamstown","Eastern Cape"," Grahamstown, Eastern Cape.","N/A","Not specified","0466222580.","Contact to: famsa@imaginet.co.za"
"Family & Marriage Society of South Africa (FAMSA), Port Elizabeth","Family values through media","Marriage / Family Counsellor","N/A","N/A","Port Elizabeth Central","Port Elizabeth","Eastern Cape"," Port Elizabeth Central, Port Elizabeth, Eastern Cape.","N/A","Not specified","0415859393.","Contact to: pe@famsa.org.za"
