Column,AET,AST,Date,House,ISSID,Name Committee,OST,PMG Name,alt,attendance,chairperson,first_name,party_affiliation,province,surname,title
54,12:34:00,09:13:00,2014-07-01 00:00:00,,C0009,Portfolio Committee on Telecommunications and Postal Services,09:00:00,Nasreen,,P,True,Mmamoloko Tryphosa,ANC,,Kubayi,Ms
55,18:00:00,14:00:00,2014-07-01 00:00:00,,C0010,Portfolio Committee on Communications,14:00:00,Nasreen,,P,True,Joyce Clementine,ANC,,Moloi-Moropa,Ms
56,18:00:00,14:00:00,2014-07-01 00:00:00,,C0011,Portfolio Committee on Telecommunications and Postal Services,14:00:00,Shingirai,,P,True,Mmamoloko Tryphosa,ANC,,Kubayi,Ms
57,13:28:00,09:40:00,2014-07-01 00:00:00,,C0012,Portfolio Committee on Public Works,09:30:00,Chinoori,,P,True,Benedict Anthony Duke,ANC,,Martins,Mr
58,10:30:00,10:00:00,2014-07-01 00:00:00,NCOP,C0013,Select Committee on Petitions and Executive Undertakings,10:00:00,Zwai,,P,True,Setlamorago Godfrey,ANC,Limpopo,Thobejane,Ms
59,13:00:00,10:00:00,2014-07-01 00:00:00,,C0014,Portfolio Committee on Justice and Correctional Services,10:00:00,Tsanga,,P,True,Mathole Serofo,ANC,,Motshekga,Mr
60,12:56:00,09:35:00,2014-07-01 00:00:00,,C0015,Standing Committee on Finance,09:30:00,Yunus,,P,True,Yunus Ismail,ANC,,Carrim,Mr
61,13:10:00,10:10:00,2014-07-01 00:00:00,,C0016,Porrfolio Committee on Women in the Presidency,10:00:00,Sharon,,P,True,Thandi Cecilia,ANC,,Memela,Ms
62,13:00:00,10:00:00,2014-07-01 00:00:00,,C0017,Standing Committee on Appropriations,10:00:00,Ismail,,P,True,Shipokosa Paulus,ANC,,Mashatile,Mr
63,13:40:00,10:00:00,2014-07-01 00:00:00,,C0018,Portfolio Committee on Small Business Development,10:00:00,Daniel,,P,True,Nozabelo Ruth,ANC,,Bhengu,Ms
64,18:00:00,14:00:00,2014-07-01 00:00:00,,C0019,Portfolio Committee on Small Business Development,14:00:00,Verne,,P,True,Nozabelo Ruth,ANC,,Bhengu,Ms
65,13:30:00,10:00:00,2014-07-01 00:00:00,,C0020,Portfolio Committee on Energy,10:00:00,Amanda,,P,True,Fikile Zachariah,ANC,,Majola,Ms
66,16:50:00,14:00:00,2014-07-01 00:00:00,,C0021,Portfolio Committee on Energy,14:00:00,Kirsty,,P,True,Fikile Zachariah,ANC,,Majola,Ms
67,18:00:00,14:00:00,2014-07-01 00:00:00,,C0022,Portfolio Committee on Trade and Industry,14:00:00,Verne,,P,True,Joanmariae Louise,ANC,,Fubbs,Ms
68,16:00:00,14:00:00,2014-07-01 00:00:00,,C0023,Portfolio Committee on Human Settlements,14:00:00,Nkululeko,,P,True,Nocawe Noncedo,ANC,,Mafu,Ms
69,10:45:00,09:45:00,2014-07-01 00:00:00,,C0024,Portfolio Committee on Transport,09:30:00,Callixte,,P,True,Dikeledi Phillistus,ANC,,Magadzi,Ms
70,12:35:00,10:00:00,2014-07-02 00:00:00,,C0025,Portfolio Committee on Public Services and Administration,10:00:00,Callixte,,P,True,Bertha Peace,ANC,,Mabe,Ms
71,15:30:00,10:00:00,2014-07-02 00:00:00,,C0026,Portfolio Committee on Defence and Military Veterans,09:00:00,Tsanga,,P,True,Malusi Stanley,ANC,,Motimele,Mr
72,13:30:00,09:30:00,2014-07-02 00:00:00,,C0027,Portfolio Committee on Mineral Resources,09:00:00,Amanda,,P,True,Sahlulele,ANC,,Luzipo,Mr
73,18:30:00,14:00:00,2014-07-02 00:00:00,,C0028,Portfolio Committee on Mineral Resources,14:00:00,Kirsty,,P,True,Sahlulele,ANC,,Luzipo,Mr
74,13:00:00,09:10:00,2014-07-02 00:00:00,,C0029,Portfolio Committee on Health,09:00:00,Shirley,,P,True,Mary-ann Lindelwa,ANC,,Dunjwa,Ms
75,20:45:00,14:00:00,2014-07-02 00:00:00,,C0030,Portfolio Committee on Health,14:00:00,Zwai,,P,True,Mary-ann Lindelwa,ANC,,Dunjwa,Ms
76,17:30:00,09:10:00,2014-07-02 00:00:00,,C0031,Portfolio Committee on Justice and Correctional Services,09:00:00,Inge,,P,True,Mathole Serofo,ANC,,Motshekga,Mr
77,21:35:00,14:00:00,2014-07-02 00:00:00,,C0032,Portfolio Committee on Rural Development and Land Reform,14:00:00,Marian,,P,True,Phumuzile Catherine,ANC,,Ngwenya-mabila,Ms
78,15:43:00,09:28:00,2014-07-02 00:00:00,,C0033,Portfolio Committee on Police,09:30:00,Eva,,P,True,Francois,ANC,,Beukman,Mr
79,17:49:00,09:35:00,2014-07-02 00:00:00,,C0034,Portfolio Committee on Social Development,09:30:00,Vukile,,P,True,Rosemary Nokuzola,ANC,,Capa,Ms
80,12:30:00,09:30:00,2014-07-02 00:00:00,,C0035,Portfolio Committee on Science and Technology,09:30:00,Akhona,,P,True,Monwabisi Bevan,ANC,,Goqwana,Dr
81,18:00:00,09:48:00,2014-07-02 00:00:00,,C0036,Portfolio Committee on Labour,09:30:00,Tolulope,,P,True,Lumka Elizabeth,ANC,,Yengeni,Ms
82,13:08:00,09:40:00,2014-07-02 00:00:00,,C0037,Portfolio Committee on Small Business Development,09:30:00,Verne,,P,True,Nozabelo Ruth,ANC,,Bhengu,Ms
83,17:20:00,09:46:00,2014-07-02 00:00:00,,C0038,Portfolio Committee on Higher Education and Training,09:30:00,Stephanie,,P,True,Yvonne Nkwenkwezi,ANC,,Phosa,Ms
84,12:50:00,10:00:00,2014-07-02 00:00:00,,C0039,Portfolio Committee on Public Enterprises,09:30:00,Rose,,A,True,Dipuo Bertha,ANC,,Letsatsi-Duba,Ms
85,16:40:00,14:00:00,2014-07-02 00:00:00,,C0040,Portfolio Committee on Public Enterprises,14:00:00,Nkululeko,,A,True,Dipuo Bertha,ANC,,Letsatsi-Duba,Ms
86,13:18:00,09:43:00,2014-07-02 00:00:00,,C0041,Portfolio Committee on International Relations and Co-operation,09:30:00,Camila,,P,True,Moses Siphosezwe Amos,ANC,,Masango,Mr
87,17:38:00,14:00:00,2014-07-02 00:00:00,,C0042,Portfolio Committee on International Relations and Co-operation,14:00:00,Estelle,,P,True,Moses Siphosezwe Amos,ANC,,Masango,Mr
88,10:54:00,10:00:00,2014-07-02 00:00:00,,C0043,Standing Committee on Public Accounts,10:00:00,Chuma,,P,True,Nelson Themba,APC,,Godi,Mr
89,13:30:00,11:00:00,2014-07-02 00:00:00,,C0044,Portfolio Committee on Water and Sanitation Affairs,11:00:00,Natalie,,P,True,Mlungisi,ANC,,Johnson,Mr
90,16:48:00,13:44:00,2014-07-02 00:00:00,,C0045,Portfolio Committee on Water and Sanitation Affairs,13:44:00,Norah,,P,True,Mlungisi,ANC,,Johnson,Mr
91,16:50:00,10:00:00,2014-07-02 00:00:00,,C0046,Standing Committee on Finance,10:00:00,Yunus,,P,True,Yunus Ismail,ANC,,Carrim,Mr
92,18:00:00,09:30:00,2014-07-03 00:00:00,,C0047,Portfolio Committee on Labour,09:30:00,Edward,,P,True,Lumka Elizabeth,ANC,,Yengeni,Ms
93,16:30:00,13:30:00,2014-07-03 00:00:00,,C0048,Portfolio Committee on Police,13:30:00,Eva,,P,True,Francois,ANC,,Beukman,Mr
94,16:30:00,14:10:00,2014-07-03 00:00:00,,C0049,Portfolio Committee on Defence and Military Veterans,14:00:00,Jaquiline,,P,True,Malusi Stanley,ANC,,Motimele,Mr
95,18:30:00,14:00:00,2014-07-03 00:00:00,,C0050,Portfolio Committee on Justice and Correctional Services,14:00:00,Megan,,P,True,Mathole Serofo,ANC,,Motshekga,Mr
96,18:30:00,14:00:00,2014-07-03 00:00:00,,C0051,Portfolio Committee on Human Settlements,14:00:00,Inga,,P,True,Nocawe Noncedo,ANC,,Mafu,Ms
97,18:10:00,14:00:00,2014-07-03 00:00:00,,C0052,Portfolio Committee on Higher Education and Training,14:00:00,Perpetua,,P,True,Yvonne Nkwenkwezi,ANC,,Phosa,Ms
98,14:50:00,14:00:00,2014-07-03 00:00:00,,C0053,Portfolio Committee on Small Business Development,14:00:00,Dirk,,P,True,Nozabelo Ruth,ANC,,Bhengu,Ms
99,14:50:00,14:00:00,2014-07-03 00:00:00,,C0054,Portfolio Committee on Economic Development,14:00:00,Dirk,,P,True,Elsie Mmathulare,ANC,,Coleman,Ms
100,18:20:00,14:00:00,2014-07-03 00:00:00,,C0055,Portfolio Committee on Health,14:00:00,Zwai,,P,True,Mary-ann Lindelwa,ANC,,Dunjwa,Ms
101,19:20:00,09:20:00,2014-07-04 00:00:00,,C0056,Portfolio Committee on Communications,09:00:00,Shingirai,,P,True,Joyce Clementine,ANC,,Moloi-Moropa,Ms
102,19:20:00,09:20:00,2014-07-04 00:00:00,,C0057,Portfolio Committee on Telecommunications and Postal Services,09:00:00,Shingirai,,P,True,Mmamoloko Tryphosa,ANC,,Kubayi,Ms
103,11:42:00,09:00:00,2014-07-04 00:00:00,,C0058,Standing Committee on Appropriations,09:00:00,Dirk,,P,True,Shipokosa Paulus,ANC,,Mashatile,Mr
104,13:50:00,09:10:00,2014-07-04 00:00:00,,C0059,Portfolio Committee on Justice and Correctional Services,09:00:00,Tsanga,,P,True,Mathole Serofo,ANC,,Motshekga,Mr
105,11:30:00,09:00:00,2014-07-04 00:00:00,,C0060,Portfolio Committee on Police,09:00:00,Eva,,P,True,Francois,ANC,,Beukman,Mr
106,12:26:00,09:30:00,2014-07-04 00:00:00,,C0061,Portfolio Committee on Tourism,09:30:00,Ismail,,P,True,Beatrice Thembekile,ANC,,Ngcobo,Ms
107,16:40:00,12:30:00,2014-07-04 00:00:00,,C0062,Portfolio Committee on Tourism,12:30:00,Zwai,,P,True,Beatrice Thembekile,ANC,,Ngcobo,Ms
108,09:40:00,08:35:00,2014-07-10 00:00:00,,C0063,Portfolio Committee on Co-operative Governance and Traditional Affairs,08:30:00,Zwai,,P,True,Mzameni Richard,ANC,,Mdakane,Mr
109,13:56:00,13:00:00,2014-07-10 00:00:00,,C0064,Portfolio Committee on Public Works,13:00:00,Inga,,P,True,Benedict Anthony Duke,ANC,,Martins,Mr
110,15:00:00,14:00:00,2014-07-10 00:00:00,,C0065,Portfolio Committee on Basic Education,14:00:00,Marietjie,,P,True,Nomalungelo,ANC,,Gina,Ms
111,14:25:00,14:00:00,2014-07-10 00:00:00,,C0066,Portfolio Committee on Defence and Military Veterans,14:00:00,Matir,,P,True,Malusi Stanley,ANC,,Motimele,Mr
112,15:46:00,14:20:00,2014-07-10 00:00:00,,C0067,Portfolio Committee on Transport,14:00:00,Chuma,,L,True,Dikeledi Phillistus,ANC,,Magadzi,Ms
113,15:00:00,14:00:00,2014-07-10 00:00:00,,C0068,Portfolio Committee on Labour,14:00:00,Tolulope,,P,True,Lumka Elizabeth,ANC,,Yengeni,Ms
114,16:40:00,13:15:00,2014-07-10 00:00:00,,C0069,Portfolio Committee on Justice and Correctional Services,13:00:00,Tsanga,,P,True,Mathole Serofo,ANC,,Motshekga,Dr
115,15:30:00,14:30:00,2014-07-10 00:00:00,,C0070,Portfolio Committee on Energy,14:00:00,Amanda,,P,True,Fikile Zachariah,ANC,,Majola,Ms
116,09:30:00,08:45:00,2014-07-10 00:00:00,,C0071,Portfolio Committee on Rural Development and Land Reform,08:30:00,Verne,,P,True,Phumuzile Catherine,ANC,,Ngwenya-mabila,Ms
117,20:30:00,14:15:00,2014-07-10 00:00:00,,C0072,Portfolio Committee on Economic Development,14:00:00,Phumlani,,P,True,Elsie Mmathulare,ANC,,Coleman,Ms
118,18:22:00,16:10:00,2014-07-10 00:00:00,,C0073,Portfolio Committee on Trade and Industry,16:00:00,Mwandile,,P,True,Joanmariae Louise,ANC,,Fubbs,Ms
119,12:55:00,08:40:00,2014-07-11 00:00:00,,A0047,Portfolio Committee on Trade and Industry,08:30:00,Stephanie,,,True,Joanmariae Louise,ANC,,Fubbs,Ms
120,12:55:00,08:40:00,2014-07-11 00:00:00,,A0048,Portfolio Committee on Small Business Development,08:30:00,Stephanie,,AP,True,Nozabelo Ruth,ANC,,Bhengu,Ms
121,13:10:00,09:18:00,2014-07-11 00:00:00,,A0049,Portfolio Committee on Communications,09:00:00,Carolyne,,P,True,Joyce Clementine,ANC,,Moloi-Moropa,Ms
122,13:10:00,09:18:00,2014-07-11 00:00:00,,A0050,Portfolio Committee on Telecommunications and Postal Services,09:00:00,Carolyne,,P,True,Mmamoloko Tryphosa,ANC,,Kubayi,Ms
123,11:10:00,09:10:00,2014-07-11 00:00:00,,A0051,Portfolio Committee on Mineral Resources,09:00:00,Monique,,P,True,Sahlulele,ANC,,Luzipo,Mr
124,11:39:00,09:26:00,2014-07-11 00:00:00,,A0052,"Portfolio Committee on Agriculture, Forestry and Fisheries",09:00:00,Zeeze,,P,True,Machwene Rosina,ANC,,Semenya,Ms
125,12:30:00,09:00:00,2014-07-11 00:00:00,,A0053,Portfolio Committee on Police,09:00:00,Eva,,P,True,Francois,ANC,,Beukman,Mr
126,11:30:00,09:00:00,2014-07-11 00:00:00,,A0054,Portfolio Committee on Tourism,09:00:00,Ismail,,P,True,Beatrice Thembekile,ANC,,Ngcobo,Ms
127,12:00:00,10:00:00,2014-07-11 00:00:00,,A0055,Portfolio Committee on Justice and Correctional Services,09:30:00,Margaret,,P,True,Malusi Stanley,ANC,,Motshekga,Dr
129,12:27:00,10:11:00,2014-07-16 00:00:00,NCOP,A0057,Select Committee on Communications and Public Enterprises,10:00:00,Camila,,P,True,Ellen,ANC,Western Cape,Prins,Ms
130,12:38:00,10:08:00,2014-07-16 00:00:00,NCOP,A0058,Select Committee on Trade and International Relations,10:00:00,Goksen,,P,True,Edwin Ronald,ANC,Gauteng,Makue,Mr
131,12:30:00,10:04:00,2014-07-16 00:00:00,NCOP,A0059,Select Committee on Finance,10:00:00,Matiapa,,P,True,Charel Jacobus,ANC,Northern Cape,De Beer,Mr
132,12:45:00,10:00:00,2014-07-16 00:00:00,NCOP,A0060,Select Committee on Security and Justice,10:00:00,Marian,,P,True,Dumisani Livingstone,ANC,Western Cape,Ximbi,Mr
133,13:00:00,10:00:00,2014-07-16 00:00:00,NCOP,A0061,Select Committee on Education and Recreation,10:00:00,Steph,,P,True,Lungelwa Lynette,ANC,KwaZulu Natal,Zwane,Ms
134,12:45:00,10:00:00,2014-07-16 00:00:00,,A0062,Standing Committee on Finance,10:00:00,Themba,,P,True,Yunus Ismail,ANC,,Carrim,Mr
135,13:00:00,10:00:00,2014-07-16 00:00:00,,A0063,Standing Committee on Appropriations,10:00:00,Dirk,,P,True,Shipokosa Paulus,ANC,,Mashatile,Mr
136,11:36:00,10:01:00,2014-07-22 00:00:00,NCOP,A0064,Select Committee on Appropriations,10:00:00,Camila,,P,True,Seiso Joel,ANC,Free State,Mohai,Mr
137,13:45:00,10:07:00,2014-07-22 00:00:00,NCOP,A0065,Select Committee on Economic Development,10:00:00,Amanda,,P,True,Litho,ANC,Eastern Cape,Suka,Mr
138,11:30:00,10:00:00,2014-07-22 00:00:00,NCOP,A0066,Select Committee on Social Services,10:00:00,Johanna,,P,True,Landulile Cathrene,ANC,Mpumalanga,Dlamini,Ms
139,12:47:00,11:07:00,2014-07-22 00:00:00,NCOP,A0067,Select Committee on Land and Mineral Resources,10:00:00,Monique,,P,True,Olifile,ANC,North West,Sefako,Mr
140,12:10:00,10:00:00,2014-07-22 00:00:00,,A0068,Standing Committee on Appropriations,10:00:00,Dirk,,P,True,Shipokosa Paulus,ANC,,Mashatile,Mr
141,13:00:00,10:20:00,2014-07-23 00:00:00,NCOP,A0069,Select Committee on Communications and Public Enterprises,10:00:00,Shingirai,,P,True,Ellen,ANC,Western Cape,Prins,Ms
142,12:32:00,10:09:00,2014-07-23 00:00:00,NCOP,A0070,Select Committee on Trade and International Relations,10:00:00,Camila,,P,True,Edwin Ronald,ANC,Gauteng,Makue,Mr
143,13:05:00,10:05:00,2014-07-23 00:00:00,NCOP,A0071,Select Committee on Security and Justice,10:00:00,Tsanga,,P,True,Dumisani Livingstone,ANC,Western Cape,Ximbi,Mr
144,12:20:00,10:00:00,2014-07-23 00:00:00,NCOP,A0072,Select Committee on Finance,10:00:00,Nkululeko,,P,True,Charel Jacobus,ANC,Northern Cape,De Beer,Mr
145,09:40:00,09:00:00,2014-07-25 00:00:00,NCOP,A0073,Select Committee on Education and Recreation,09:00:00,Ismail,,P,True,Lungelwa Lynette,ANC,KwaZulu Natal,Zwane,Ms
146,11:58:00,10:00:00,2014-07-29 00:00:00,NCOP,A0074,Select Committee on Land and Mineral Resources,10:00:00,Nxowana,,P,True,Olifile,ANC,North West,Sefako,Mr
147,11:23:00,09:10:00,2014-07-29 00:00:00,,A0075,Portfolio Committee on Home Affairs,09:00:00,Estelle,,P,True,Buoang Lemias,ANC,,Mashile,Mr
148,14:00:00,09:00:00,2014-07-29 00:00:00,,A0076,"Portfolio Committee on Agriculture, Forestry and Fisheries",09:00:00,Natalie,,P,True,Machwene Rosina,ANC,,Semenya,Ms
149,12:14:00,09:00:00,2014-07-29 00:00:00,,A0077,Portfolio Committee on Justice and Correctional Services,09:00:00,Mpho,,P,True,Mathole Serofo,ANC,,Motshekga,Mr
150,13:25:00,09:35:00,2014-07-29 00:00:00,,A0078,Portfolio Committee on Public Works,09:30:00,Jaquiline,,P,True,Benedict Anthony Duke,ANC,,Martins,Mr
151,12:52:00,09:30:00,2014-07-29 00:00:00,,A0079,Portfolio Committee on Sports and Recreation,09:30:00,Phumlani,,P,True,Beauty Nomvuzo,ANC,,Dlulane,Ms
152,12:00:00,09:45:00,2014-07-29 00:00:00,,A0080,Portfolio Committee on Transport,09:45:00,Nkululeko,,P,True,Dikeledi Phillistus,ANC,,Magadzi,Mr
153,11:45:00,09:45:00,2014-07-29 00:00:00,,A0081,Portfolio Committee on Environmental Affairs,09:30:00,Chuma,,P,True,Jackson Mphikwa,ANC,,Mthembu,Mr
